TITLE: Water balance - stream discharge from Västrabäcken catchment, north-eastern Sweden
SITES STATION: Svartberget Research Station
TIME PERIOD: 2005-04-06 - 2023-11-17
TIME RESOLUTION: Daily
TIME ZONE: UTC +1
SAMPLING POINT: Västrabäcken, C2
LATITUDE: 64.251425
LONGITUDE: 19.777804
ALTITUDE: 237.6 m a.s.l.

FILE RETRIEVED FROM: https://data.fieldsites.se
DATA POLICY: SITES data is licensed under a Creative Commons Attribution 4.0 international license (http://creativecommons.org/licenses/by/4.0/).

COMMENTS: Equation: Q = A * SL^B [m3 s-1, m], for stream level data see CSV: https://meta.fieldsites.se/objects/QjxB15TFq8Eeq-gPCzJpRYOh, Document - Description V-notch weir station see PDF: SITES_WB-Q_SVB_VAB-C2_discharge-description_from_2005.pdf - https://meta.fieldsites.se/objects/E83a9LPleWK9C2VQDxjl5o2N, Catchment area 0.119 km2
Before 2012" gaps in data are caused by freezing over winter periods and removed sensor, Gaps are filled with NaNs. Heated dam house allowed continuous measurements from 2012 onwards."
Stream can fall dry during summer periods," therefore data is filled with NaNs as precise measurements cannot be conducted, see e.g. August 2014 and July/August 2018."


PARAMETERS AND UNITS: Q (m3 s-1)

PARAMETER AND COLUMN INFO:
TIMESTAMP - Time in [YYYY-MM-DD]
Q - discharge (m3 s-1), Daily average of 5 min sampling intervals, calculated from stream level data and V-notch weir dimensions
####
TIMESTAMP,Q
2005-10-16,0.000225411
2005-10-17,0.000224569
2005-10-18,0.000244351
2005-10-19,0.000252754
2005-10-20,0.000254652
2005-10-21,0.000276907
2005-10-22,0.000272537
2005-10-23,0.000254523
2005-10-24,0.000206543
2005-10-25,0.000163303
2005-10-26,0.000204955
2005-10-27,0.000207354
2005-10-28,0.000252325
2005-10-29,0.000896766
2005-10-30,0.001300898
2005-10-31,0.000897185
2005-11-01,0.000761794
2005-11-02,0.000741689
2005-11-03,0.000688198
2005-11-04,0.000828505
2005-11-05,0.000992296
2005-11-06,0.001494095
2005-11-07,0.001930404
2005-11-08,0.001744279
2005-11-09,0.001365932
2005-11-10,NaN
2005-11-11,NaN
2005-11-12,NaN
2005-11-13,NaN
2005-11-14,NaN
2005-11-15,NaN
2005-11-16,NaN
2005-11-17,NaN
2005-11-18,NaN
2005-11-19,NaN
2005-11-20,0.000387648
2005-11-21,0.000373222
2005-11-22,0.000410425
2005-11-23,0.000480361
2005-11-24,0.000523775
2005-11-25,0.000545626
2005-11-26,0.000571488
2005-11-27,0.000571488
2005-11-28,NaN
2005-11-29,NaN
2005-11-30,NaN
2005-12-01,NaN
2005-12-02,NaN
2005-12-03,NaN
2005-12-04,NaN
2005-12-05,NaN
2005-12-06,NaN
2005-12-07,NaN
2005-12-08,NaN
2005-12-09,NaN
2005-12-10,NaN
2005-12-11,NaN
2005-12-12,NaN
2005-12-13,NaN
2005-12-14,NaN
2005-12-15,NaN
2005-12-16,NaN
2005-12-17,NaN
2005-12-18,NaN
2005-12-19,NaN
2005-12-20,NaN
2005-12-21,NaN
2005-12-22,NaN
2005-12-23,NaN
2005-12-24,NaN
2005-12-25,NaN
2005-12-26,NaN
2005-12-27,NaN
2005-12-28,NaN
2005-12-29,NaN
2005-12-30,NaN
2005-12-31,NaN
2006-01-01,NaN
2006-01-02,0.000153281
2006-01-03,0.000143889
2006-01-04,0.000129326
2006-01-05,0.000137973
2006-01-06,0.000137973
2006-01-07,0.000125094
2006-01-08,0.000109218
2006-01-09,0.000097568
2006-01-10,0.000101509
2006-01-11,0.000128688
2006-01-12,0.000123597
2006-01-13,0.000120512
2006-01-14,0.000122755
2006-01-15,0.000117707
2006-01-16,0.000110134
2006-01-17,0.000110134
2006-01-18,NaN
2006-01-19,NaN
2006-01-20,NaN
2006-01-21,NaN
2006-01-22,NaN
2006-01-23,NaN
2006-01-24,NaN
2006-01-25,NaN
2006-01-26,NaN
2006-01-27,NaN
2006-01-28,NaN
2006-01-29,NaN
2006-01-30,NaN
2006-01-31,NaN
2006-02-01,NaN
2006-02-02,NaN
2006-02-03,NaN
2006-02-04,NaN
2006-02-05,NaN
2006-02-06,NaN
2006-02-07,NaN
2006-02-08,NaN
2006-02-09,NaN
2006-02-10,0.000065069
2006-02-11,0.000063160
2006-02-12,0.000065069
2006-02-13,0.000064688
2006-02-14,0.000062778
2006-02-15,0.000065069
2006-02-16,0.000065069
2006-02-17,0.000062320
2006-02-18,NaN
2006-02-19,NaN
2006-02-20,NaN
2006-02-21,NaN
2006-02-22,NaN
2006-02-23,NaN
2006-02-24,NaN
2006-02-25,NaN
2006-02-26,NaN
2006-02-27,NaN
2006-02-28,NaN
2006-03-01,NaN
2006-03-02,NaN
2006-03-03,NaN
2006-03-04,NaN
2006-03-05,NaN
2006-03-06,NaN
2006-03-07,NaN
2006-03-08,NaN
2006-03-09,NaN
2006-03-10,NaN
2006-03-11,NaN
2006-03-12,NaN
2006-03-13,NaN
2006-03-14,NaN
2006-03-15,NaN
2006-03-16,NaN
2006-03-17,NaN
2006-03-18,NaN
2006-03-19,NaN
2006-03-20,NaN
2006-03-21,NaN
2006-03-22,NaN
2006-03-23,NaN
2006-03-24,NaN
2006-03-25,NaN
2006-03-26,NaN
2006-03-27,NaN
2006-03-28,NaN
2006-03-29,NaN
2006-03-30,NaN
2006-03-31,NaN
2006-04-01,NaN
2006-04-02,NaN
2006-04-03,NaN
2006-04-04,NaN
2006-04-05,NaN
2006-04-06,NaN
2006-04-07,NaN
2006-04-08,NaN
2006-04-09,NaN
2006-04-10,NaN
2006-04-11,NaN
2006-04-12,NaN
2006-04-13,NaN
2006-04-14,NaN
2006-04-15,NaN
2006-04-16,NaN
2006-04-17,NaN
2006-04-18,NaN
2006-04-19,NaN
2006-04-20,NaN
2006-04-21,NaN
2006-04-22,NaN
2006-04-23,NaN
2006-04-24,0.000871453
2006-04-25,0.000882228
2006-04-26,NaN
2006-04-27,NaN
2006-04-28,NaN
2006-04-29,0.003106604
2006-04-30,0.003376536
2006-05-01,0.003889308
2006-05-02,0.004585837
2006-05-03,0.005705510
2006-05-04,0.006885816
2006-05-05,0.009277988
2006-05-06,0.008579241
2006-05-07,0.007139027
2006-05-08,0.005178388
2006-05-09,0.003652080
2006-05-10,0.002793361
2006-05-11,0.002420521
2006-05-12,0.002268517
2006-05-13,0.002144012
2006-05-14,0.001873387
2006-05-15,0.001784768
2006-05-16,0.001499249
2006-05-17,0.001297258
2006-05-18,0.001221084
2006-05-19,0.001267814
2006-05-20,0.001191153
2006-05-21,0.001025111
2006-05-22,0.000883250
2006-05-23,0.000959951
2006-05-24,0.001582969
2006-05-25,0.001564227
2006-05-26,0.001898304
2006-05-27,0.002160334
2006-05-28,0.001474567
2006-05-29,0.002169129
2006-05-30,0.003128905
2006-05-31,0.001942532
2006-06-01,0.001470190
2006-06-02,0.001045751
2006-06-03,0.000938339
2006-06-04,0.000833682
2006-06-05,0.001238862
2006-06-06,0.001013000
2006-06-07,0.000739807
2006-06-08,0.000621154
2006-06-09,0.000509108
2006-06-10,0.000532759
2006-06-11,0.000408088
2006-06-12,0.000285159
2006-06-13,0.000177522
2006-06-14,0.000134896
2006-06-15,0.000107168
2006-06-16,0.000079579
2006-06-17,0.000070619
2006-06-18,0.000055374
2006-06-19,0.000036968
2006-06-20,0.000056200
2006-06-21,0.000331306
2006-06-22,0.000485930
2006-06-23,0.000317890
2006-06-24,0.000178848
2006-06-25,0.000094478
2006-06-26,0.000054535
2006-06-27,0.000033425
2006-06-28,0.000015167
2006-06-29,0.000031990
2006-06-30,0.000067745
2006-07-01,0.000041657
2006-07-02,0.000030623
2006-07-03,0.000007130
2006-07-04,0.000002670
2006-07-05,0.000009500
2006-07-06,0.000002727
2006-07-07,0.000000905
2006-07-08,NaN
2006-07-09,NaN
2006-07-10,NaN
2006-07-11,NaN
2006-07-12,NaN
2006-07-13,NaN
2006-07-14,NaN
2006-07-15,NaN
2006-07-16,NaN
2006-07-17,NaN
2006-07-18,NaN
2006-07-19,NaN
2006-07-20,NaN
2006-07-21,NaN
2006-07-22,NaN
2006-07-23,NaN
2006-07-24,NaN
2006-07-25,NaN
2006-07-26,NaN
2006-07-27,NaN
2006-07-28,NaN
2006-07-29,NaN
2006-07-30,NaN
2006-07-31,NaN
2006-08-01,NaN
2006-08-02,NaN
2006-08-03,NaN
2006-08-04,NaN
2006-08-05,NaN
2006-08-06,NaN
2006-08-07,NaN
2006-08-08,NaN
2006-08-09,NaN
2006-08-10,NaN
2006-08-11,NaN
2006-08-12,NaN
2006-08-13,NaN
2006-08-14,NaN
2006-08-15,NaN
2006-08-16,NaN
2006-08-17,NaN
2006-08-18,NaN
2006-08-19,NaN
2006-08-20,NaN
2006-08-21,NaN
2006-08-22,NaN
2006-08-23,NaN
2006-08-24,NaN
2006-08-25,NaN
2006-08-26,NaN
2006-08-27,NaN
2006-08-28,NaN
2006-08-29,NaN
2006-08-30,NaN
2006-08-31,NaN
2006-09-01,NaN
2006-09-02,NaN
2006-09-03,NaN
2006-09-04,NaN
2006-09-05,NaN
2006-09-06,NaN
2006-09-07,NaN
2006-09-08,NaN
2006-09-09,NaN
2006-09-10,NaN
2006-09-11,NaN
2006-09-12,NaN
2006-09-13,NaN
2006-09-14,NaN
2006-09-15,NaN
2006-09-16,NaN
2006-09-17,NaN
2006-09-18,NaN
2006-09-19,NaN
2006-09-20,NaN
2006-09-21,NaN
2006-09-22,NaN
2006-09-23,NaN
2006-09-24,NaN
2006-09-25,NaN
2006-09-26,NaN
2006-09-27,NaN
2006-09-28,0.001005698
2006-09-29,0.000578948
2006-09-30,0.000429625
2006-10-01,0.000914650
2006-10-02,0.001796575
2006-10-03,0.001214644
2006-10-04,0.003404365
2006-10-05,0.002620219
2006-10-06,0.001609527
2006-10-07,0.001349813
2006-10-08,0.003077452
2006-10-09,0.002167952
2006-10-10,0.001393753
2006-10-11,0.001128105
2006-10-12,0.000990018
2006-10-13,0.000885899
2006-10-14,0.001005351
2006-10-15,0.000964343
2006-10-16,0.000785580
2006-10-17,0.000694033
2006-10-18,0.000671366
2006-10-19,0.000600308
2006-10-20,0.000556660
2006-10-21,0.000464768
2006-10-22,0.000511230
2006-10-23,0.000467626
2006-10-24,0.000545113
2006-10-25,0.000582335
2006-10-26,0.000448462
2006-10-27,0.000258142
2006-10-28,0.000459610
2006-10-29,0.000355522
2006-10-30,0.000332654
2006-10-31,0.000311299
2006-11-01,0.000331856
2006-11-02,0.000298180
2006-11-03,0.000264244
2006-11-04,0.000230689
2006-11-05,0.000243774
2006-11-06,0.000131659
2006-11-07,0.000184257
2006-11-08,0.000448016
2006-11-09,0.000373233
2006-11-10,NaN
2006-11-11,NaN
2006-11-12,NaN
2006-11-13,NaN
2006-11-14,NaN
2006-11-15,NaN
2006-11-16,NaN
2006-11-17,NaN
2006-11-18,NaN
2006-11-19,NaN
2006-11-20,NaN
2006-11-21,NaN
